"id_discente","ano_ingresso","campus","curso","modalidade","forma_ingresso"
2021003385,2021,Itajuba,Administracao,Presencial,Sisu
2021016374,2021,Itajuba,Administracao,Presencial,Sisu
2021014389,2021,Itajuba,Administracao,Presencial,Sisu
2021006627,2021,Itajuba,Administracao,Presencial,Sisu
2021012348,2021,Itajuba,Administracao,Presencial,Sisu
2021012642,2021,Itajuba,Administracao,Presencial,Sisu
2021004480,2021,Itajuba,Administracao,Presencial,Sisu
2021017273,2021,Itajuba,Administracao,Presencial,Sisu
2021011304,2021,Itajuba,Administracao,Presencial,Sisu
2021003189,2021,Itajuba,Administracao,Presencial,Sisu
2021011888,2021,Itajuba,Administracao,Presencial,Sisu
2021010020,2021,Itajuba,Administracao,Presencial,Sisu
2021015715,2021,Itajuba,Administracao,Presencial,Sisu
2021018790,2021,Itajuba,Administracao,Presencial,Sisu
2021023299,2021,Itajuba,Administracao,Presencial,Sisu
2021005728,2021,Itajuba,Administracao,Presencial,Sisu
2021012428,2021,Itajuba,Administracao,Presencial,Sisu
2021033043,2021,Itajuba,Administracao,Presencial,Sisu
2021032761,2021,Itajuba,Administracao,Presencial,Sisu
2021013560,2021,Itajuba,Administracao,Presencial,Sisu
2021029757,2021,Itajuba,Administracao,Presencial,Sisu
2021011903,2021,Itajuba,Administracao,Presencial,Sisu
2021021150,2021,Itajuba,Administracao,Presencial,Sisu
2021011805,2021,Itajuba,Administracao,Presencial,Sisu
2021021955,2021,Itajuba,Administracao,Presencial,Sisu
2021032449,2021,Itajuba,Administracao,Presencial,Sisu
2021014226,2021,Itajuba,Administracao,Presencial,Sisu
2021007624,2021,Itajuba,Administracao,Presencial,Sisu
2021010728,2021,Itajuba,Administracao,Presencial,Sisu
2021019250,2021,Itajuba,Administracao,Presencial,Sisu
2021017676,2021,Itajuba,Administracao,Presencial,Sisu
2021011663,2021,Itajuba,Administracao,Presencial,Sisu
2021011681,2021,Itajuba,Administracao,Presencial,Sisu
2021024714,2021,Itajuba,Administracao,Presencial,Sisu
2021031441,2021,Itajuba,Administracao,Presencial,Sisu
2021030239,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021010700,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021020653,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021005209,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021005700,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021009763,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021006304,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021015770,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021006467,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021012660,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021030865,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021014100,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021010165,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021017390,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021020690,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021004767,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021009128,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021008149,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021013621,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021005100,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021021338,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021025050,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021002889,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021021650,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
2021009567,2021,Itajuba,Ciencia da Computacao,Presencial,Sisu
21024250,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021015107,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021014146,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021014665,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021020493,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021025794,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021016570,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021014600,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021028339,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021013864,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021014164,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021023673,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021010586,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021008167,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021008828,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021028876,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021012268,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021020715,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021010002,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021017030,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021006823,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021017353,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021025730,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021013784,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021011725,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021030533,2021,Itajuba,Ciancias Atmosfaricas,Presencial,Sisu
2021018412,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021014745,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021028357,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021005020,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021013668,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021022237,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021013407,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021009487,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021006028,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021017237,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021015635,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021015519,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021008200,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021011064,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021031648,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021028535,2021,Itajuba,Ciancias Biolagicas Licenciatura,Presencial,Sisu
2021031281,2021,"Itabira",Engenharia Ambiental,Presencial,Sisu
2021017952,2021,"Itabira",Engenharia Ambiental,Presencial,Sisu
2021029390,2021,"Itabira",Engenharia Ambiental,Presencial,Sisu
