"id_discente","ano_ingresso","campus","curso","modalidade","forma_ingresso"
23079,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27773,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23092,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27762,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29646,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25002,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25653,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25655,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27759,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31028,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29633,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25657,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27750,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23095,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23093,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24998,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25658,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29634,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23102,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24999,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30430,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30426,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25650,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27786,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26175,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26651,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27780,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24985,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24993,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29642,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27757,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24988,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26166,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30433,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26530,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30745,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30957,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23066,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30072,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29630,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26172,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30742,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26360,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25660,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29639,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23070,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27775,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30657,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24996,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26171,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23098,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25003,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26165,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23105,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25010,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25647,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31030,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30083,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23104,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24984,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
26174,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30427,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23071,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31029,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27779,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,NOVO VESTIBULAR PARA O MESMO CURSO 
30747,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24981,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30084,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29643,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23060,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30420,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29644,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30743,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23106,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
30434,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27770,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24997,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29628,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29655,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29647,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29635,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24995,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
24991,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
29637,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27772,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27767,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
27751,2018,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
23065,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
25006,2017,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
