CODIGO;DISCIPLINA;PER.;CH;PRE-REQUISITOS
XDES01;Fundamentos de Programação;1;64;
XDES02;Programação Orientada a Objetos;3;64;XDES01
XDES03;Programação Web;4;64;XDES02
XDES04;Engenharia de Software I;3;64;
CDES05;Programação Lógica e Funcional;2;64;XMAC01
XPAD01;Banco de Dados I;4;64;CTC002
XMCO01;Inteligência Artificial;5;64;XMAC02
CMC005;Introdução à Computação Visual;5;64;MAT00A,XDES02
XRSC01;Redes de Computadores;4;64;CRSC02
CRSC02;Sistemas Operacionais;3;64;CTCO01,CRSC04
CRSC03;Arquitetura de Computadores I;1;64;
CRSC04;Arquitetura de Computadores II;2;64;CRSC03
CRSC05;Sistemas Embarcados;4;64;CTCO01,CRSC04
CTCO01;Algoritmos e Estruturas de Dados I;2;64;XDES01
CTC002;Algoritmos e Estruturas de Dados II;3;64;CTCO01
CTC003;Análise e Projeto Orientados a Objeto;4;64;XDES02
CTC004;Projeto e Análise de Algoritmos;5;64;CTC002
CTC005;Teoria da Computação;6;64;CDES05,CTC004
CTC006;Compiladores;7;64;CTC005
MAT00A;Cálculo A;1;64;
MAT00B;Cálculo B;2;64;MAT00A
XMAC01;Matemática Discreta;1;64;
XMAC02;Métodos Matemáticos para Análise de Dados;3;64;MAT00A,CTCO01,XMAC01
CMAC03;Algoritmos em Grafos;3;64;CTC002
CMAC04;Modelagem Computacional;2;64;MAT00A
CMAC05;Cálculo Numérico para Computação;4;64;MAT00A
XAHC01;Computação e Sociedade;7;64;
XAHC02;Interação Humano-Computador;6;64;XDES03
XAHC03;Metodologia Científica;7;64;TCC1
CAHC04;Projeto Integrado;1;32;
